category,PMD,Semgrep,SonarQube,SpotBugs+FSB
cmdi,100.0,88.9,98.4,100.0
crypto,100.0,100.0,100.0,100.0
hash,100.0,69.0,100.0,100.0
ldapi,100.0,96.3,100.0,100.0
pathtraver,100.0,90.2,90.2,100.0
securecookie,100.0,0.0,100.0,100.0
sqli,100.0,86.0,100.0,100.0
trustbound,100.0,81.9,100.0,100.0
weakrand,100.0,0.0,100.0,100.0
xpathi,100.0,93.3,100.0,100.0
xss,100.0,82.1,80.9,100.0
